ID TIME n private balances
1 1787134409.727 0 {} {}
1 1787134409.727 0 {} {}
1 1787134409.727 1 None {'1': 0}
1 1787134409.727 2 None {'1': 0, '2': 0}
1 1787134409.727 3 None {'1': 0, '2': 0, '3': 0}
1 1787134409.727 4 None {'1': 0, '2': 0, '3': 0, '4': 0}
1 1787134409.73 67 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.73 68 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.731 69 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.731 70 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.731 71 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.731 72 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.731 73 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.731 74 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.731 75 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.731 76 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.731 77 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.731 78 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134409.731 79 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
