ID TIME n private balances
5 1787133605.884 0 {} {}
5 1787133605.884 0 None {}
5 1787133605.884 1 None {'1': 0}
5 1787133605.884 2 None {'1': 0, '3': 0}
5 1787133605.884 3 None {'1': 0, '3': 0, '4': 0}
5 1787133605.884 4 None {'1': 0, '3': 0, '4': 0, '5': 0}
5 1787133605.889 50 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.89 51 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.89 52 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.89 53 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.89 54 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.89 55 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.89 56 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.89 57 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.89 58 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.891 59 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.891 60 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.891 61 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.891 62 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.891 63 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.891 64 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.891 65 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.891 66 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.892 67 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.892 68 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.892 69 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.892 70 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.892 71 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.892 72 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.892 73 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.892 74 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.893 75 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.893 76 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.893 77 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.893 78 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.893 79 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.893 80 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.894 81 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.894 82 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.894 83 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
5 1787133605.894 84 None {'1': 0, '3': 0, '4': 0, '5': 0, '2': 0}
