ID TIME n private balances
4 1787133570.26 0 {} {}
4 1787133570.26 0 None {}
4 1787133570.26 1 None {'1': 0}
4 1787133570.26 2 None {'1': 0, '2': 0}
4 1787133570.26 3 None {'1': 0, '2': 0, '4': 0}
4 1787133570.26 4 None {'1': 0, '2': 0, '4': 0, '5': 0}
4 1787133570.261 5 None {'1': 0, '2': 0, '4': 0, '5': 0}
4 1787133570.261 6 None {'1': 0, '2': 0, '4': 0, '5': 0}
4 1787133570.263 24 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.263 25 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.263 26 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.263 27 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.263 28 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.263 29 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.264 30 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.264 31 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.264 32 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.264 33 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.264 34 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.264 35 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.264 36 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.264 37 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.265 38 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.265 39 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.265 40 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.265 41 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.265 42 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.265 43 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.265 44 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.265 45 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.266 46 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.266 47 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.266 48 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.266 49 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.266 50 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.266 51 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.266 52 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.266 53 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.266 54 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.267 55 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.267 56 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.267 57 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.267 58 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.267 59 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.267 60 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.267 61 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.267 62 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.268 63 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.268 64 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.268 65 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.268 66 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.268 67 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.268 68 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.268 69 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.268 70 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.269 71 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.269 72 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.269 73 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.269 74 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.269 75 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.269 76 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
4 1787133570.269 77 None {'1': 0, '2': 0, '4': 0, '5': 0, '3': 0}
