ID TIME n private balances
5 1786769360.011 0 {} {}
5 1786769360.011 1 None {'1': 0, '0': 0}
5 1786769360.011 7 None {'1': 1, '0': 0, '2': 0, '5': 0, '4': 0, '3': 0}
5 1786769360.014 100 None {'1': 13, '0': 0, '2': 22, '5': 5, '4': 22, '3': 12}
5 1786769360.014 103 None {'1': 17, '0': 0, '2': 22, '5': 5, '4': 22, '3': 12}
5 1786769360.014 107 None {'1': 17, '0': 0, '2': 22, '5': 7, '4': 22, '3': 12}
5 1786769360.014 113 None {'1': 17, '0': 0, '2': 22, '5': 7, '4': 22, '3': 15}
5 1786769360.014 116 None {'1': 17, '0': 0, '2': 22, '5': 7, '4': 27, '3': 15}
5 1786769360.014 118 None {'1': 17, '0': 0, '2': 24, '5': 7, '4': 27, '3': 15}
5 1786769360.015 122 None {'1': 17, '0': 0, '2': 24, '5': 7, '4': 27, '3': 16}
5 1786769360.015 126 None {'1': 20, '0': 0, '2': 24, '5': 7, '4': 27, '3': 16}
5 1786769360.015 129 None {'1': 20, '0': 0, '2': 27, '5': 7, '4': 27, '3': 16}
5 1786769360.015 133 None {'1': 20, '0': 0, '2': 27, '5': 7, '4': 27, '3': 18}
5 1786769360.015 138 None {'1': 20, '0': 0, '2': 27, '5': 10, '4': 27, '3': 18}
5 1786769360.015 144 None {'1': 20, '0': 0, '2': 31, '5': 10, '4': 27, '3': 18}
5 1786769360.015 147 None {'1': 20, '0': 0, '2': 31, '5': 10, '4': 32, '3': 18}
5 1786769360.015 150 None {'1': 20, '0': 0, '2': 31, '5': 12, '4': 32, '3': 18}
5 1786769360.015 154 None {'1': 20, '0': 0, '2': 33, '5': 12, '4': 32, '3': 18}
5 1786769360.016 157 None {'1': 20, '0': 0, '2': 33, '5': 12, '4': 35, '3': 18}
5 1786769360.016 160 None {'1': 20, '0': 0, '2': 33, '5': 14, '4': 35, '3': 18}
5 1786769360.016 164 None {'1': 20, '0': 0, '2': 35, '5': 14, '4': 35, '3': 18}
5 1786769360.016 169 None {'1': 20, '0': 0, '2': 35, '5': 14, '4': 38, '3': 18}
5 1786769360.016 172 None {'1': 20, '0': 0, '2': 35, '5': 14, '4': 38, '3': 22}
5 1786769360.016 176 None {'1': 20, '0': 0, '2': 37, '5': 14, '4': 38, '3': 22}
5 1786769360.016 180 None {'1': 20, '0': 0, '2': 37, '5': 14, '4': 41, '3': 22}
5 1786769360.016 187 None {'1': 20, '0': 0, '2': 37, '5': 17, '4': 41, '3': 22}
5 1786769360.017 193 None {'1': 20, '0': 0, '2': 37, '5': 17, '4': 41, '3': 28}
5 1786769360.017 199 None {'1': 20, '0': 0, '2': 37, '5': 17, '4': 46, '3': 28}
5 1786769360.017 201 None {'1': 20, '0': 0, '2': 37, '5': 22, '4': 46, '3': 28}
5 1786769360.017 204 None {'1': 20, '0': 0, '2': 37, '5': 22, '4': 46, '3': 29}
5 1786769360.017 207 None {'1': 22, '0': 0, '2': 37, '5': 22, '4': 46, '3': 29}
5 1786769360.017 212 None {'1': 22, '0': 0, '2': 37, '5': 24, '4': 46, '3': 29}
5 1786769360.017 217 None {'1': 22, '0': 0, '2': 37, '5': 24, '4': 50, '3': 29}
5 1786769360.017 221 None {'1': 26, '0': 0, '2': 37, '5': 24, '4': 50, '3': 29}
5 1786769360.018 223 None {'1': 26, '0': 0, '2': 37, '5': 27, '4': 50, '3': 29}
5 1786769360.018 226 None {'1': 26, '0': 0, '2': 37, '5': 27, '4': 51, '3': 29}
5 1786769360.018 230 None {'1': 28, '0': 0, '2': 37, '5': 27, '4': 51, '3': 29}
5 1786769360.018 234 None {'1': 28, '0': 0, '2': 37, '5': 30, '4': 51, '3': 29}
5 1786769360.018 240 None {'1': 28, '0': 0, '2': 37, '5': 30, '4': 51, '3': 32}
5 1786769360.018 242 None {'1': 33, '0': 0, '2': 37, '5': 30, '4': 51, '3': 32}
5 1786769360.018 246 None {'1': 33, '0': 0, '2': 37, '5': 30, '4': 52, '3': 32}
5 1786769360.018 248 None {'1': 33, '0': 0, '2': 37, '5': 30, '4': 52, '3': 35}
5 1786769360.019 253 None {'1': 34, '0': 0, '2': 37, '5': 30, '4': 52, '3': 35}
