ID TIME n private balances
1 1786769360.04 0 {} {}
1 1786769360.04 1 {} {'1': 0, '0': 0}
1 1786769360.04 7 None {'1': 1, '0': 0, '2': 0, '5': 0, '4': 0, '3': 0}
1 1786769360.042 180 None {'1': 20, '0': 0, '2': 37, '5': 14, '4': 41, '3': 22}
1 1786769360.042 187 None {'1': 20, '0': 0, '2': 37, '5': 17, '4': 41, '3': 22}
1 1786769360.042 193 None {'1': 20, '0': 0, '2': 37, '5': 17, '4': 41, '3': 28}
1 1786769360.042 199 None {'1': 20, '0': 0, '2': 37, '5': 17, '4': 46, '3': 28}
1 1786769360.042 201 None {'1': 20, '0': 0, '2': 37, '5': 22, '4': 46, '3': 28}
1 1786769360.042 204 None {'1': 20, '0': 0, '2': 37, '5': 22, '4': 46, '3': 29}
1 1786769360.042 207 None {'1': 22, '0': 0, '2': 37, '5': 22, '4': 46, '3': 29}
1 1786769360.042 212 None {'1': 22, '0': 0, '2': 37, '5': 24, '4': 46, '3': 29}
1 1786769360.042 217 None {'1': 22, '0': 0, '2': 37, '5': 24, '4': 50, '3': 29}
1 1786769360.042 221 None {'1': 26, '0': 0, '2': 37, '5': 24, '4': 50, '3': 29}
1 1786769360.042 223 None {'1': 26, '0': 0, '2': 37, '5': 27, '4': 50, '3': 29}
1 1786769360.042 226 None {'1': 26, '0': 0, '2': 37, '5': 27, '4': 51, '3': 29}
1 1786769360.043 230 None {'1': 28, '0': 0, '2': 37, '5': 27, '4': 51, '3': 29}
1 1786769360.043 234 None {'1': 28, '0': 0, '2': 37, '5': 30, '4': 51, '3': 29}
1 1786769360.043 240 None {'1': 28, '0': 0, '2': 37, '5': 30, '4': 51, '3': 32}
1 1786769360.043 242 None {'1': 33, '0': 0, '2': 37, '5': 30, '4': 51, '3': 32}
1 1786769360.043 246 None {'1': 33, '0': 0, '2': 37, '5': 30, '4': 52, '3': 32}
1 1786769360.043 248 None {'1': 33, '0': 0, '2': 37, '5': 30, '4': 52, '3': 35}
