ID TIME n private balances
1 1786769697.97 0 {} {}
1 1786769697.97 1 {} {'1': 0, '0': 0}
1 1786769697.97 7 None {'1': 1, '0': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1786769697.971 104 None {'1': 17, '0': 0, '2': 22, '3': 1, '4': 26, '5': 11}
1 1786769697.971 108 None {'1': 17, '0': 0, '2': 23, '3': 1, '4': 26, '5': 11}
1 1786769697.971 111 None {'1': 17, '0': 0, '2': 23, '3': 4, '4': 26, '5': 11}
1 1786769697.971 114 None {'1': 17, '0': 0, '2': 23, '3': 4, '4': 26, '5': 13}
1 1786769697.971 120 None {'1': 19, '0': 0, '2': 23, '3': 4, '4': 26, '5': 13}
1 1786769697.971 124 None {'1': 19, '0': 0, '2': 23, '3': 9, '4': 26, '5': 13}
1 1786769697.971 128 None {'1': 19, '0': 0, '2': 23, '3': 9, '4': 29, '5': 13}
1 1786769697.971 134 None {'1': 19, '0': 0, '2': 26, '3': 9, '4': 29, '5': 13}
1 1786769697.971 139 None {'1': 19, '0': 0, '2': 26, '3': 9, '4': 29, '5': 18}
1 1786769697.971 143 None {'1': 23, '0': 0, '2': 26, '3': 9, '4': 29, '5': 18}
1 1786769697.971 147 None {'1': 23, '0': 0, '2': 26, '3': 12, '4': 29, '5': 18}
1 1786769697.971 153 None {'1': 23, '0': 0, '2': 29, '3': 12, '4': 29, '5': 18}
1 1786769697.971 158 None {'1': 23, '0': 0, '2': 29, '3': 12, '4': 29, '5': 23}
1 1786769697.971 164 None {'1': 27, '0': 0, '2': 29, '3': 12, '4': 29, '5': 23}
1 1786769697.971 169 None {'1': 27, '0': 0, '2': 29, '3': 17, '4': 29, '5': 23}
1 1786769697.971 171 None {'1': 27, '0': 0, '2': 29, '3': 17, '4': 29, '5': 27}
1 1786769697.971 174 None {'1': 27, '0': 0, '2': 30, '3': 17, '4': 29, '5': 27}
1 1786769697.971 178 None {'1': 27, '0': 0, '2': 30, '3': 19, '4': 29, '5': 27}
1 1786769697.971 181 None {'1': 27, '0': 0, '2': 30, '3': 19, '4': 29, '5': 30}
1 1786769697.972 185 None {'1': 27, '0': 0, '2': 32, '3': 19, '4': 29, '5': 30}
1 1786769697.972 190 None {'1': 27, '0': 0, '2': 32, '3': 22, '4': 29, '5': 30}
1 1786769697.972 194 None {'1': 31, '0': 0, '2': 32, '3': 22, '4': 29, '5': 30}
1 1786769697.972 196 None {'1': 31, '0': 0, '2': 35, '3': 22, '4': 29, '5': 30}
1 1786769697.972 199 None {'1': 31, '0': 0, '2': 35, '3': 22, '4': 30, '5': 30}
1 1786769697.972 202 None {'1': 31, '0': 0, '2': 35, '3': 22, '4': 30, '5': 32}
1 1786769697.972 206 None {'1': 31, '0': 0, '2': 35, '3': 24, '4': 30, '5': 32}
1 1786769697.972 210 None {'1': 31, '0': 0, '2': 35, '3': 24, '4': 33, '5': 32}
1 1786769697.972 214 None {'1': 31, '0': 0, '2': 38, '3': 24, '4': 33, '5': 32}
1 1786769697.972 218 None {'1': 31, '0': 0, '2': 38, '3': 24, '4': 33, '5': 35}
1 1786769697.972 222 None {'1': 31, '0': 0, '2': 38, '3': 27, '4': 33, '5': 35}
1 1786769697.972 226 None {'1': 31, '0': 0, '2': 41, '3': 27, '4': 33, '5': 35}
1 1786769697.972 230 None {'1': 31, '0': 0, '2': 41, '3': 27, '4': 36, '5': 35}
1 1786769697.972 236 None {'1': 34, '0': 0, '2': 41, '3': 27, '4': 36, '5': 35}
1 1786769697.972 239 None {'1': 34, '0': 0, '2': 41, '3': 27, '4': 36, '5': 40}
1 1786769697.972 242 None {'1': 34, '0': 0, '2': 43, '3': 27, '4': 36, '5': 40}
1 1786769697.972 246 None {'1': 36, '0': 0, '2': 43, '3': 27, '4': 36, '5': 40}
