ID TIME n private balances
5 1787134409.676 0 {} {}
5 1787134409.677 0 None {}
5 1787134409.677 1 None {'1': 0}
5 1787134409.677 2 None {'1': 0, '2': 0}
5 1787134409.677 3 None {'1': 0, '2': 0, '3': 0}
5 1787134409.677 4 None {'1': 0, '2': 0, '3': 0, '4': 0}
5 1787134409.683 55 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.683 56 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.683 57 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.684 58 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.684 59 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.684 60 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.684 61 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.684 62 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.684 63 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.684 64 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.684 65 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.684 66 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.685 67 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.685 68 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.685 69 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.685 70 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.685 71 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.685 72 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.685 73 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.686 74 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.686 75 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.686 76 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.686 77 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.686 78 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.686 79 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787134409.687 80 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
